행정구역코드,시도명,시군구명,연도,총인구,고령인구_65세이상,의사수_예측,구급차수,응급시설수_총,의사_인구10만명당,구급차_인구10만명당,응급시설_인구10만명당,취약지수,취약지역_여부,목표_의사수,추가_의사수,목표_구급차수,추가_구급차수,목표_응급시설수,추가_응급시설수
29170,광주광역시,북구,2025,433875.0,83304.0,1325.333333,9.0,6.0,305.4643234,2.074330164,1.382886776,0.867739204,0.0,1692.75578,368.0,56.32916603,48.0,11.9891539,6.0
29140,광주광역시,서구,2025,278694.7368,52952.0,1151.066667,6.0,5.0,413.0205973,2.152893186,1.794077655,0.826832717,0.0,1087.322678,0.0,36.18240762,31.0,7.70109845,3.0
27200,대구광역시,남구,2025,134250.0,38127.0,1032.466667,8.0,4.0,769.062694,5.959031657,2.979515829,0.77787518,0.0,523.7740444,0.0,17.42942216,10.0,3.709694982,0.0
27290,대구광역시,달서구,2025,522853.5354,103525.0,2162.666667,11.0,6.0,413.6276262,2.103839652,1.147548901,0.863094708,0.0,2039.903991,0.0,67.88108004,57.0,14.44787439,9.0
27710,대구광역시,달성군,2025,259700.0,44149.0,451.4666667,6.0,1.0,173.8416121,2.310358106,0.385059684,0.924332833,1.0,1013.215042,562.0,33.71635706,28.0,7.176221876,7.0
27140,대구광역시,동구,2025,337823.0453,82091.0,962.4666667,7.0,3.0,284.9026081,2.072090729,0.888038884,0.918191697,1.0,1318.010746,356.0,43.85892344,37.0,9.334975463,7.0
27230,대구광역시,북구,2025,418528.4974,80776.0,1254.333333,17.0,2.0,299.7008187,4.061850054,0.477864712,0.887650074,0.0,1632.881667,379.0,54.33675879,38.0,11.56508802,10.0
27170,대구광역시,서구,2025,164704.6263,46282.0,444.8666667,5.0,2.0,270.0996788,3.035737436,1.214294974,0.914698286,1.0,642.5922404,198.0,21.38328837,17.0,4.551239671,3.0
27260,대구광역시,수성구,2025,400103.4483,81221.0,1417.8,9.0,1.0,354.3583556,2.249418254,0.249935362,0.913769766,1.0,1560.996658,144.0,51.94466971,43.0,11.05595348,11.0
27110,대구광역시,중구,2025,95887.70053,17931.0,1391.6,8.0,4.0,1451.281022,8.343092967,4.171546484,0.447431727,0.0,374.104199,0.0,12.44891779,5.0,2.649639639,0.0
30230,대전광역시,대덕구,2025,171429.2453,36343.0,413.8666667,6.0,2.0,241.4212732,3.499986242,1.166662081,0.885660361,0.0,668.8282245,255.0,22.25633286,17.0,4.7370593,3.0
